epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.3043,1.67768,2.30124,0.00886,0.61729,0.43049,0.52293,0.23008,1.72139,1.40274,0.00693,0.000411706,0.000411706,0.000411706
2,191.061,1.58446,1.28393,0.00854,0.54549,0.57209,0.54021,0.17991,2.06539,1.33504,0.00947,0.000818122,0.000818122,0.000818122
3,263.144,1.6373,1.246,0.00888,0.69615,0.60788,0.64365,0.21511,2.30501,1.24096,0.00999,0.00121422,0.00121422,0.00121422
4,340.382,1.61051,1.19654,0.00877,0.75154,0.67743,0.74205,0.3243,1.82422,0.96445,0.00739,0.00120359,0.00120359,0.00120359
5,421.898,1.61885,1.14472,0.00899,0.71477,0.70162,0.74209,0.35844,1.61658,1.06581,0.00723,0.00118812,0.00118812,0.00118812
6,536.898,1.55752,1.07686,0.00871,0.70277,0.70114,0.75128,0.34239,1.78927,0.98346,0.008,0.00117266,0.00117266,0.00117266
7,617.218,1.5722,1.04415,0.00868,0.78394,0.64051,0.75471,0.37351,1.58007,0.8783,0.00726,0.00115719,0.00115719,0.00115719
8,701.117,1.52625,1.01045,0.00856,0.7831,0.72091,0.78692,0.35686,1.75705,0.82974,0.00804,0.00114172,0.00114172,0.00114172
9,780.04,1.50765,0.9787,0.00825,0.77561,0.71277,0.78781,0.35145,1.78068,0.80047,0.00804,0.00112625,0.00112625,0.00112625
10,857.869,1.49481,0.93286,0.00806,0.78564,0.70412,0.77441,0.38461,1.6308,0.81063,0.0076,0.00111078,0.00111078,0.00111078
11,942.165,1.5113,0.94321,0.00823,0.80835,0.74509,0.82833,0.41188,1.60187,0.74389,0.0073,0.00109531,0.00109531,0.00109531
12,1021.1,1.47601,0.89504,0.00804,0.79039,0.74599,0.79831,0.29059,2.22068,0.87878,0.00986,0.00107984,0.00107984,0.00107984
13,1099.99,1.46579,0.90901,0.00793,0.81618,0.75499,0.82688,0.43587,1.54285,0.7022,0.00653,0.00106437,0.00106437,0.00106437
14,1207.31,1.45226,0.89794,0.00796,0.78119,0.76084,0.82571,0.37294,1.83672,0.89896,0.00803,0.00104891,0.00104891,0.00104891
15,1284.51,1.42588,0.87833,0.00778,0.79858,0.74334,0.81798,0.42271,1.56843,0.79617,0.00655,0.00103344,0.00103344,0.00103344
16,1386.16,1.4428,0.83158,0.00749,0.85152,0.78147,0.8638,0.41515,1.80807,0.70179,0.00751,0.00101797,0.00101797,0.00101797
17,1465.08,1.40812,0.82988,0.00759,0.80858,0.75873,0.83593,0.3943,1.68264,0.80996,0.00672,0.0010025,0.0010025,0.0010025
18,1542.46,1.40991,0.85042,0.00782,0.82901,0.74064,0.83511,0.43579,1.61355,0.73383,0.00692,0.000987031,0.000987031,0.000987031
19,1620.02,1.39799,0.79779,0.00765,0.79511,0.77749,0.84001,0.36457,1.93135,0.76758,0.00777,0.000971562,0.000971562,0.000971562
20,1709.19,1.39087,0.78682,0.00753,0.88699,0.74925,0.86255,0.43283,1.62728,0.68158,0.00725,0.000956094,0.000956094,0.000956094
21,1784.08,1.38955,0.80896,0.00747,0.84967,0.84652,0.89038,0.44784,1.58271,0.6096,0.0062,0.000940625,0.000940625,0.000940625
22,1868.79,1.36766,0.79972,0.00719,0.83996,0.80724,0.88164,0.47371,1.44885,0.65558,0.00615,0.000925156,0.000925156,0.000925156
23,1952.55,1.39732,0.78122,0.00763,0.89303,0.80666,0.89917,0.45255,1.59187,0.64865,0.00636,0.000909688,0.000909688,0.000909688
24,2030.21,1.35839,0.77357,0.00711,0.86339,0.82676,0.90212,0.51952,1.37601,0.58375,0.00552,0.000894219,0.000894219,0.000894219
25,2108.9,1.3432,0.75088,0.00699,0.88887,0.82427,0.90934,0.48561,1.50338,0.58915,0.00615,0.00087875,0.00087875,0.00087875
26,2187.91,1.33188,0.74381,0.00711,0.88902,0.80908,0.89551,0.46955,1.49125,0.58472,0.0063,0.000863281,0.000863281,0.000863281
27,2266.32,1.36198,0.7381,0.00717,0.88143,0.82503,0.90795,0.51254,1.38922,0.5523,0.00553,0.000847813,0.000847813,0.000847813
28,2343.29,1.33453,0.73667,0.00741,0.88582,0.8312,0.90425,0.50321,1.3557,0.55971,0.00537,0.000832344,0.000832344,0.000832344
29,2421.02,1.31779,0.72363,0.00699,0.8787,0.82486,0.90236,0.48633,1.46366,0.56382,0.00578,0.000816875,0.000816875,0.000816875
30,2499.36,1.30779,0.70631,0.00702,0.87086,0.84536,0.91421,0.48514,1.45582,0.5562,0.00585,0.000801406,0.000801406,0.000801406
31,2576.57,1.30856,0.71396,0.00671,0.8726,0.84715,0.91275,0.48726,1.48725,0.55895,0.00586,0.000785938,0.000785938,0.000785938
32,2648.59,1.30071,0.70688,0.00703,0.88849,0.84702,0.91568,0.49128,1.46619,0.56548,0.00588,0.000770469,0.000770469,0.000770469
33,2720.72,1.29346,0.70534,0.00686,0.85018,0.86085,0.90796,0.5088,1.38624,0.56674,0.00548,0.000755,0.000755,0.000755
34,2797.93,1.28008,0.69623,0.00695,0.87848,0.84192,0.91273,0.49549,1.46837,0.57114,0.006,0.000739531,0.000739531,0.000739531
35,2875.58,1.27945,0.66229,0.00669,0.89975,0.84653,0.92698,0.51601,1.50498,0.57131,0.00591,0.000724062,0.000724062,0.000724062
36,2953.81,1.26793,0.67408,0.00679,0.86656,0.84977,0.90388,0.48146,1.48506,0.54775,0.00589,0.000708594,0.000708594,0.000708594
37,3032.35,1.26268,0.66572,0.00664,0.91444,0.82112,0.91647,0.51935,1.42435,0.54343,0.00586,0.000693125,0.000693125,0.000693125
38,3109.96,1.29062,0.6546,0.00672,0.90465,0.85548,0.91269,0.49605,1.48434,0.55387,0.00581,0.000677656,0.000677656,0.000677656
39,3187.17,1.23976,0.65075,0.00658,0.89853,0.87456,0.92606,0.51256,1.45131,0.51873,0.00572,0.000662188,0.000662188,0.000662188
40,3265.49,1.24082,0.6376,0.00646,0.90172,0.87734,0.9286,0.55213,1.3289,0.49587,0.00514,0.000646719,0.000646719,0.000646719
41,3349.83,1.23515,0.63718,0.00646,0.88254,0.87357,0.92516,0.50005,1.50739,0.5506,0.00565,0.00063125,0.00063125,0.00063125
42,3427.61,1.23984,0.63947,0.00645,0.87571,0.88015,0.92778,0.54849,1.27858,0.48766,0.00493,0.000615781,0.000615781,0.000615781
43,3504.98,1.21321,0.62358,0.00644,0.91625,0.85805,0.93156,0.53306,1.34459,0.49266,0.00528,0.000600313,0.000600313,0.000600313
44,3582.77,1.2136,0.63194,0.00646,0.91938,0.87321,0.94063,0.53734,1.3412,0.49854,0.00531,0.000584844,0.000584844,0.000584844
45,3660.84,1.23952,0.61882,0.00627,0.91268,0.83763,0.9273,0.54144,1.28417,0.4889,0.00491,0.000569375,0.000569375,0.000569375
46,3738.27,1.21833,0.62103,0.00639,0.8989,0.88477,0.93346,0.5155,1.42761,0.49468,0.00539,0.000553906,0.000553906,0.000553906
47,3816.36,1.20835,0.61816,0.00636,0.90114,0.86852,0.92635,0.53612,1.32256,0.51225,0.00548,0.000538438,0.000538438,0.000538438
48,3894.66,1.21368,0.61698,0.00635,0.93129,0.88733,0.93286,0.53223,1.36509,0.4728,0.00525,0.000522969,0.000522969,0.000522969
49,3972.41,1.21229,0.62163,0.00635,0.92873,0.88486,0.94544,0.56613,1.2773,0.46409,0.00486,0.0005075,0.0005075,0.0005075
50,4056.4,1.17809,0.58876,0.00605,0.92805,0.86659,0.93629,0.55911,1.2973,0.47915,0.00495,0.000492031,0.000492031,0.000492031
51,4132.94,1.17418,0.58726,0.00604,0.91104,0.88824,0.93855,0.54361,1.36938,0.47734,0.00513,0.000476562,0.000476562,0.000476562
52,4210.7,1.18119,0.6037,0.00613,0.88112,0.90929,0.94252,0.55586,1.30293,0.46839,0.00506,0.000461094,0.000461094,0.000461094
53,4288.3,1.17375,0.59548,0.00601,0.90846,0.87351,0.93181,0.53557,1.35343,0.48429,0.00549,0.000445625,0.000445625,0.000445625
54,4364.27,1.17502,0.58644,0.00611,0.92418,0.90355,0.94951,0.56502,1.26525,0.43123,0.00484,0.000430156,0.000430156,0.000430156
55,4441.8,1.16701,0.57432,0.00599,0.93371,0.87332,0.94273,0.56129,1.2628,0.45017,0.0049,0.000414688,0.000414688,0.000414688
