epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2266.37,1.14162,0.61797,1.18592,0.89913,0.86846,0.91649,0.49062,1.45738,0.61885,1.22488,0.000615781,0.000615781,0.000615781
43,2321.37,1.13346,0.60626,1.18453,0.9286,0.8698,0.91945,0.49444,1.42055,0.60176,1.21226,0.000600313,0.000600313,0.000600313
44,2372.43,1.14164,0.60889,1.19245,0.92192,0.8701,0.93645,0.53205,1.32959,0.60509,1.16211,0.000584844,0.000584844,0.000584844
45,2427.21,1.14529,0.60172,1.17462,0.94628,0.85276,0.92639,0.46105,1.58051,0.61967,1.23952,0.000569375,0.000569375,0.000569375
46,2478.5,1.12442,0.60131,1.17731,0.92452,0.8901,0.93691,0.51176,1.40213,0.58638,1.18198,0.000553906,0.000553906,0.000553906
47,2528.54,1.12599,0.59619,1.17431,0.89861,0.88052,0.92321,0.52276,1.30974,0.59412,1.17648,0.000538438,0.000538438,0.000538438
48,2584.19,1.12132,0.59139,1.17311,0.92609,0.87041,0.92002,0.51254,1.37223,0.59078,1.17778,0.000522969,0.000522969,0.000522969
49,2635.39,1.10966,0.59483,1.16364,0.93925,0.88038,0.93888,0.53043,1.31015,0.56323,1.14768,0.0005075,0.0005075,0.0005075
50,2687.99,1.10509,0.57618,1.16515,0.92634,0.86134,0.92679,0.53271,1.29509,0.58453,1.14242,0.000492031,0.000492031,0.000492031
51,2739.16,1.09901,0.56914,1.15274,0.93138,0.89661,0.93877,0.45839,1.57537,0.60555,1.23767,0.000476562,0.000476562,0.000476562
52,2794.68,1.10451,0.5804,1.16169,0.92117,0.91239,0.93361,0.49137,1.45048,0.57081,1.19774,0.000461094,0.000461094,0.000461094
53,2846.67,1.10056,0.57525,1.15782,0.92336,0.90584,0.93924,0.5282,1.32416,0.56409,1.16756,0.000445625,0.000445625,0.000445625
54,2903.94,1.08933,0.56449,1.16055,0.94262,0.89032,0.93616,0.52293,1.35412,0.5564,1.16408,0.000430156,0.000430156,0.000430156
55,2957.31,1.08695,0.5631,1.14769,0.92887,0.88988,0.94483,0.52796,1.33392,0.55003,1.15719,0.000414688,0.000414688,0.000414688
56,3008.4,1.09195,0.56671,1.14877,0.942,0.90384,0.9416,0.52144,1.36615,0.55925,1.16032,0.000399219,0.000399219,0.000399219
57,3063.45,1.07962,0.55319,1.1436,0.95341,0.90409,0.94804,0.54305,1.33434,0.54362,1.14897,0.00038375,0.00038375,0.00038375
58,3116.57,1.06617,0.54245,1.13765,0.93768,0.90441,0.94065,0.52848,1.33455,0.55393,1.17151,0.000368281,0.000368281,0.000368281
59,3172.44,1.07898,0.55172,1.14418,0.932,0.90632,0.94087,0.51458,1.38777,0.5608,1.18279,0.000352812,0.000352812,0.000352812
60,3227.22,1.06899,0.54214,1.14178,0.92364,0.91309,0.94034,0.51675,1.39398,0.55172,1.17078,0.000337344,0.000337344,0.000337344
61,3282,1.05682,0.53739,1.13503,0.94293,0.9033,0.94675,0.51411,1.39119,0.55878,1.15653,0.000321875,0.000321875,0.000321875
62,3333.22,1.058,0.54025,1.13253,0.9353,0.89609,0.94224,0.53605,1.30521,0.54582,1.13079,0.000306406,0.000306406,0.000306406
63,3386.52,1.0606,0.53253,1.12264,0.93762,0.89568,0.93618,0.52821,1.33402,0.53372,1.13869,0.000290937,0.000290937,0.000290937
64,3437.6,1.05304,0.53593,1.1251,0.92163,0.90611,0.93821,0.49291,1.49183,0.56323,1.19458,0.000275469,0.000275469,0.000275469
65,3487.75,1.04415,0.51856,1.11981,0.94587,0.89916,0.94084,0.5393,1.31612,0.52839,1.13898,0.00026,0.00026,0.00026
66,3538.16,1.03851,0.52682,1.12656,0.94935,0.89806,0.94462,0.53708,1.31422,0.53053,1.14315,0.000244531,0.000244531,0.000244531
67,3589.27,1.03942,0.52272,1.12898,0.94822,0.9075,0.94516,0.55713,1.2694,0.52211,1.1351,0.000229063,0.000229063,0.000229063
68,3640.32,1.03791,0.51469,1.12533,0.95701,0.89546,0.94479,0.54232,1.31901,0.53151,1.14454,0.000213594,0.000213594,0.000213594
69,3693.72,1.04482,0.51763,1.12488,0.95459,0.89993,0.94719,0.54381,1.34563,0.52386,1.15023,0.000198125,0.000198125,0.000198125
70,3743.7,1.02759,0.51423,1.12004,0.94483,0.89965,0.94866,0.51496,1.40868,0.53838,1.16571,0.000182656,0.000182656,0.000182656
71,3799.59,0.98063,0.45467,1.12047,0.94653,0.90125,0.94245,0.54978,1.26107,0.52003,1.12032,0.000167188,0.000167188,0.000167188
72,3850.21,0.98442,0.45792,1.13135,0.95673,0.89835,0.94875,0.5543,1.2909,0.51602,1.13665,0.000151719,0.000151719,0.000151719
73,3901.84,0.96138,0.44654,1.11715,0.94846,0.90659,0.94901,0.53393,1.36716,0.52822,1.15976,0.00013625,0.00013625,0.00013625
74,3951.54,0.96403,0.44017,1.1109,0.94696,0.91933,0.95074,0.56161,1.24198,0.50218,1.11859,0.000120781,0.000120781,0.000120781
75,4002.94,0.95529,0.43525,1.10858,0.9477,0.92591,0.95374,0.54827,1.3147,0.51142,1.13686,0.000105312,0.000105312,0.000105312
76,4052.74,0.95505,0.43027,1.09809,0.94176,0.90869,0.94933,0.56557,1.21852,0.50355,1.10718,8.98437e-05,8.98437e-05,8.98437e-05
77,4105.89,0.95032,0.43065,1.10886,0.95662,0.91256,0.95421,0.55628,1.26843,0.50256,1.12202,7.4375e-05,7.4375e-05,7.4375e-05
78,4155.32,0.92935,0.41857,1.09342,0.9536,0.91509,0.95283,0.54359,1.31687,0.50826,1.13378,5.89062e-05,5.89062e-05,5.89062e-05
79,4210.78,0.94402,0.42656,1.09614,0.94344,0.92482,0.95676,0.56062,1.26412,0.49861,1.11667,4.34375e-05,4.34375e-05,4.34375e-05
80,4267.37,0.9276,0.42397,1.09516,0.95515,0.92005,0.95676,0.55748,1.26135,0.49847,1.11648,2.79687e-05,2.79687e-05,2.79687e-05
