epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1446.54,1.20354,0.65053,1.29139,0.92698,0.81926,0.88942,0.42643,1.66654,0.69104,1.33196,0.000615781,0.000615781,0.000615781
43,1481.28,1.20217,0.65349,1.28758,0.94216,0.84334,0.91068,0.44065,1.6227,0.65989,1.32005,0.000600313,0.000600313,0.000600313
44,1515.38,1.17866,0.63897,1.2756,0.91614,0.83422,0.88888,0.45372,1.51234,0.63632,1.311,0.000584844,0.000584844,0.000584844
45,1549.8,1.1689,0.63831,1.26968,0.90426,0.84924,0.90675,0.46795,1.51551,0.63497,1.26895,0.000569375,0.000569375,0.000569375
46,1584.43,1.16204,0.62549,1.2618,0.91311,0.85587,0.91376,0.50115,1.39778,0.62321,1.22708,0.000553906,0.000553906,0.000553906
47,1618.9,1.15645,0.61781,1.25331,0.87998,0.838,0.89134,0.41041,1.74688,0.6799,1.37015,0.000538438,0.000538438,0.000538438
48,1653.56,1.14986,0.61756,1.25908,0.92205,0.85061,0.92467,0.50369,1.38438,0.59804,1.28281,0.000522969,0.000522969,0.000522969
49,1688.44,1.16424,0.61872,1.26508,0.88411,0.85853,0.91286,0.44469,1.66459,0.64612,1.37201,0.0005075,0.0005075,0.0005075
50,1722.4,1.14816,0.60835,1.25161,0.92831,0.82978,0.90722,0.51186,1.32878,0.58729,1.2045,0.000492031,0.000492031,0.000492031
51,1756.31,1.13933,0.59963,1.24296,0.90915,0.87042,0.91379,0.42358,1.67442,0.62623,1.43219,0.000476562,0.000476562,0.000476562
52,1789.9,1.15426,0.60465,1.26157,0.94027,0.86496,0.92555,0.48186,1.49205,0.58652,1.27099,0.000461094,0.000461094,0.000461094
53,1823.06,1.13013,0.60191,1.25109,0.93893,0.84609,0.92071,0.4612,1.56726,0.61407,1.28323,0.000445625,0.000445625,0.000445625
54,1856.25,1.13098,0.58805,1.23605,0.91202,0.86576,0.92088,0.50592,1.38178,0.57923,1.29057,0.000430156,0.000430156,0.000430156
55,1889.81,1.12036,0.58656,1.23667,0.92569,0.86137,0.921,0.47038,1.53319,0.60828,1.29322,0.000414688,0.000414688,0.000414688
56,1923.04,1.11646,0.57797,1.23552,0.90948,0.8989,0.93177,0.51414,1.32853,0.54957,1.2336,0.000399219,0.000399219,0.000399219
57,1956.9,1.11357,0.57563,1.23328,0.94136,0.87637,0.93493,0.52464,1.31151,0.54584,1.20432,0.00038375,0.00038375,0.00038375
58,1990.55,1.10751,0.5673,1.22274,0.89153,0.89119,0.92711,0.46571,1.57956,0.59252,1.40254,0.000368281,0.000368281,0.000368281
59,2024.21,1.11819,0.57175,1.22844,0.92566,0.86994,0.92565,0.51391,1.34387,0.55197,1.2413,0.000352812,0.000352812,0.000352812
60,2058.02,1.09821,0.56296,1.21608,0.93169,0.88327,0.9372,0.48264,1.48767,0.57888,1.25153,0.000337344,0.000337344,0.000337344
61,2091.79,1.08738,0.55507,1.21886,0.91014,0.90025,0.933,0.50875,1.3733,0.5424,1.24654,0.000321875,0.000321875,0.000321875
62,2125.6,1.08812,0.56107,1.22724,0.93161,0.88649,0.94165,0.52914,1.31565,0.53939,1.19661,0.000306406,0.000306406,0.000306406
63,2159.54,1.09172,0.54885,1.21848,0.93648,0.87303,0.93222,0.54658,1.23876,0.5484,1.18097,0.000290937,0.000290937,0.000290937
64,2193.47,1.07464,0.5476,1.20699,0.9431,0.89379,0.94328,0.50627,1.40474,0.55249,1.26405,0.000275469,0.000275469,0.000275469
65,2227.35,1.07226,0.54369,1.20529,0.92042,0.89288,0.93323,0.48614,1.45657,0.55423,1.26174,0.00026,0.00026,0.00026
66,2260.98,1.08092,0.54719,1.21284,0.9267,0.90426,0.93823,0.50562,1.3641,0.54366,1.2566,0.000244531,0.000244531,0.000244531
67,2295.03,1.07015,0.54007,1.21549,0.93079,0.87057,0.93148,0.51576,1.35622,0.53653,1.19505,0.000229063,0.000229063,0.000229063
68,2328.62,1.06657,0.54264,1.20411,0.95423,0.8629,0.93753,0.53031,1.30126,0.5263,1.2003,0.000213594,0.000213594,0.000213594
69,2361.96,1.05419,0.52753,1.19091,0.93397,0.89328,0.93957,0.50935,1.40101,0.53437,1.22225,0.000198125,0.000198125,0.000198125
70,2395.23,1.05002,0.52081,1.1859,0.94185,0.89777,0.93804,0.52468,1.30857,0.52846,1.20678,0.000182656,0.000182656,0.000182656
71,2429.27,1.00734,0.47464,1.22765,0.92553,0.89066,0.93852,0.52697,1.29685,0.5205,1.17244,0.000167188,0.000167188,0.000167188
72,2462.95,0.99575,0.46911,1.23168,0.94426,0.89261,0.94538,0.51794,1.35416,0.53506,1.21015,0.000151719,0.000151719,0.000151719
73,2496.62,0.99893,0.46752,1.22693,0.92245,0.90803,0.94448,0.52173,1.34513,0.52217,1.18168,0.00013625,0.00013625,0.00013625
74,2530.32,0.9865,0.46394,1.21254,0.94294,0.91017,0.94916,0.54674,1.24767,0.5063,1.16202,0.000120781,0.000120781,0.000120781
75,2564.33,0.99884,0.4658,1.21356,0.92186,0.91714,0.9457,0.55512,1.22022,0.49652,1.1543,0.000105312,0.000105312,0.000105312
76,2598.91,0.96827,0.4526,1.20357,0.91406,0.90906,0.94434,0.55505,1.22019,0.49916,1.16405,8.98437e-05,8.98437e-05,8.98437e-05
77,2632.39,0.96945,0.44655,1.19682,0.92048,0.90976,0.9446,0.54497,1.25477,0.49945,1.17412,7.4375e-05,7.4375e-05,7.4375e-05
78,2666.25,0.96417,0.44822,1.19959,0.94647,0.89438,0.9494,0.55315,1.23774,0.49444,1.15563,5.89062e-05,5.89062e-05,5.89062e-05
79,2699.87,0.96486,0.45409,1.20127,0.92304,0.91446,0.9487,0.55757,1.22648,0.49153,1.14995,4.34375e-05,4.34375e-05,4.34375e-05
80,2733.85,0.95922,0.44364,1.19716,0.93009,0.91119,0.94868,0.55586,1.22237,0.4908,1.14714,2.79687e-05,2.79687e-05,2.79687e-05
