epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2693.21,1.1732,0.65381,1.18438,0.89248,0.84255,0.892,0.47465,1.41827,0.68183,1.17412,0.000615781,0.000615781,0.000615781
43,2755.84,1.15938,0.64478,1.18191,0.90624,0.86409,0.91704,0.50645,1.37739,0.64406,1.15655,0.000600313,0.000600313,0.000600313
44,2819.24,1.17089,0.65735,1.18732,0.91365,0.82909,0.90546,0.48961,1.39283,0.6597,1.1605,0.000584844,0.000584844,0.000584844
45,2881.6,1.18188,0.64653,1.18415,0.92211,0.85173,0.91841,0.45493,1.6269,0.66532,1.21568,0.000569375,0.000569375,0.000569375
46,2943.81,1.14736,0.64322,1.17217,0.90919,0.85523,0.90933,0.45871,1.54324,0.65734,1.19776,0.000553906,0.000553906,0.000553906
47,3006.36,1.14929,0.63951,1.1721,0.878,0.86462,0.91858,0.49741,1.41411,0.65178,1.16407,0.000538438,0.000538438,0.000538438
48,3069.32,1.1503,0.62665,1.17502,0.90173,0.82515,0.90268,0.50759,1.31147,0.68558,1.1328,0.000522969,0.000522969,0.000522969
49,3132.51,1.14144,0.63549,1.16403,0.89585,0.86651,0.91093,0.52479,1.28674,0.62733,1.12387,0.0005075,0.0005075,0.0005075
50,3200.65,1.13738,0.62258,1.16339,0.89172,0.85638,0.92232,0.52944,1.29949,0.62344,1.12653,0.000492031,0.000492031,0.000492031
51,3275.7,1.12659,0.61657,1.15215,0.90529,0.84992,0.91056,0.44049,1.63454,0.65603,1.21518,0.000476562,0.000476562,0.000476562
52,3350.44,1.12645,0.62214,1.15312,0.89647,0.88804,0.91915,0.48818,1.46113,0.63172,1.1565,0.000461094,0.000461094,0.000461094
53,3417.27,1.13609,0.61944,1.15723,0.9153,0.8673,0.92328,0.53352,1.28519,0.61397,1.11941,0.000445625,0.000445625,0.000445625
54,3497.57,1.12805,0.61066,1.15565,0.92468,0.87558,0.93092,0.52828,1.29811,0.62092,1.11463,0.000430156,0.000430156,0.000430156
55,3565.65,1.11799,0.60749,1.14451,0.91742,0.86514,0.92963,0.52776,1.29797,0.60299,1.12007,0.000414688,0.000414688,0.000414688
56,3627.77,1.13116,0.60693,1.15216,0.93502,0.85844,0.92255,0.51414,1.37066,0.60757,1.12763,0.000399219,0.000399219,0.000399219
57,3690.72,1.10843,0.59414,1.14458,0.92701,0.87992,0.93388,0.54498,1.25993,0.5876,1.11318,0.00038375,0.00038375,0.00038375
58,3759.65,1.09689,0.58064,1.13495,0.91321,0.86111,0.92191,0.5357,1.25735,0.59705,1.10467,0.000368281,0.000368281,0.000368281
59,3829.62,1.1037,0.59171,1.13606,0.92914,0.88416,0.93833,0.52655,1.34333,0.58956,1.12858,0.000352812,0.000352812,0.000352812
60,3899.25,1.0918,0.57942,1.14152,0.92974,0.85979,0.92981,0.52832,1.29798,0.59999,1.11075,0.000337344,0.000337344,0.000337344
61,3969.08,1.08625,0.57302,1.13499,0.92225,0.85602,0.92758,0.52094,1.33712,0.61635,1.11291,0.000321875,0.000321875,0.000321875
62,4039.29,1.08732,0.58204,1.13314,0.91523,0.87818,0.92458,0.53316,1.26992,0.58243,1.10668,0.000306406,0.000306406,0.000306406
63,4108,1.09011,0.57318,1.12288,0.92701,0.88796,0.93736,0.50087,1.45539,0.59507,1.14424,0.000290937,0.000290937,0.000290937
64,4177.55,1.08459,0.57561,1.12884,0.91678,0.89232,0.93693,0.54253,1.25257,0.56724,1.09211,0.000275469,0.000275469,0.000275469
65,4247.93,1.07127,0.56091,1.11584,0.93358,0.87495,0.93412,0.5211,1.33209,0.57529,1.10781,0.00026,0.00026,0.00026
66,4310.06,1.06638,0.55534,1.12203,0.94187,0.87612,0.93846,0.5457,1.24381,0.55831,1.09268,0.000244531,0.000244531,0.000244531
67,4390.56,1.0677,0.55602,1.12366,0.89617,0.89121,0.92856,0.55365,1.19401,0.5646,1.089,0.000229063,0.000229063,0.000229063
68,4469.95,1.06361,0.55752,1.12003,0.91657,0.89892,0.93612,0.5478,1.24105,0.56316,1.09198,0.000213594,0.000213594,0.000213594
69,4543.83,1.06222,0.54891,1.11494,0.92687,0.89041,0.93916,0.54597,1.28893,0.56686,1.09599,0.000198125,0.000198125,0.000198125
70,4611.84,1.04978,0.54787,1.11684,0.93021,0.90177,0.93885,0.54581,1.2976,0.55681,1.09856,0.000182656,0.000182656,0.000182656
71,4680.98,1.01055,0.49214,1.11655,0.92395,0.87399,0.92729,0.54205,1.2347,0.56862,1.08687,0.000167188,0.000167188,0.000167188
72,4748.64,1.00156,0.49216,1.11438,0.94705,0.88044,0.93587,0.52973,1.33029,0.55761,1.10342,0.000151719,0.000151719,0.000151719
73,4832.58,0.99561,0.47588,1.11085,0.93104,0.89169,0.93894,0.53627,1.29743,0.55705,1.09553,0.00013625,0.00013625,0.00013625
74,4894.49,0.98056,0.47353,1.09706,0.94622,0.89509,0.94042,0.54749,1.261,0.54994,1.08722,0.000120781,0.000120781,0.000120781
75,4963.76,0.97537,0.46729,1.09823,0.92963,0.89207,0.94195,0.5484,1.25362,0.54572,1.09299,0.000105312,0.000105312,0.000105312
76,5032.42,0.97442,0.4666,1.08916,0.93485,0.89629,0.93728,0.56171,1.19685,0.53982,1.07887,8.98437e-05,8.98437e-05,8.98437e-05
77,5103.38,0.97593,0.46437,1.1021,0.93344,0.89911,0.94502,0.565,1.2233,0.54094,1.08095,7.4375e-05,7.4375e-05,7.4375e-05
78,5171.31,0.95505,0.45394,1.08967,0.93985,0.89046,0.94262,0.55418,1.25385,0.5456,1.09003,5.89062e-05,5.89062e-05,5.89062e-05
79,5238.59,0.96421,0.45912,1.09124,0.92234,0.90951,0.94412,0.56055,1.22952,0.54093,1.08378,4.34375e-05,4.34375e-05,4.34375e-05
80,5306.12,0.95528,0.46022,1.09155,0.91907,0.90671,0.94087,0.557,1.22946,0.5406,1.08102,2.79687e-05,2.79687e-05,2.79687e-05
